Region,Country ISO-3 Code,Country,Year,Dimension,Dimension Value,Dimension Value Order,Anthropometric Indicator,Indicator Description,Prevalence Estimate %,Under-Five Population (million),Country Avg
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 1 (poorest),1,Overweight,Overweight prevalence in children aged < 5 years (%),4.48693,3576.301513671875,4.1126247
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 2,2,Overweight,Overweight prevalence in children aged < 5 years (%),4.670275,3767.88427734375,4.1126247
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 3,3,Overweight,Overweight prevalence in children aged < 5 years (%),4.0782128,4178.4541015625,4.1126247
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 4,4,Overweight,Overweight prevalence in children aged < 5 years (%),3.264172,4315.4228515625,4.1126247
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 5 (richest),5,Overweight,Overweight prevalence in children aged < 5 years (%),4.2546868,3575.646240234375,4.1126247
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 1 (poorest),1,Stunting,Stunting prevalence in children aged < 5 years (%),49.4572043,3498.241455078125,38.1927758
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 2,2,Stunting,Stunting prevalence in children aged < 5 years (%),41.2891895,3712.3701171875,38.1927758
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 3,3,Stunting,Stunting prevalence in children aged < 5 years (%),39.9440587,4091.17333984375,38.1927758
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 4,4,Stunting,Stunting prevalence in children aged < 5 years (%),35.0527108,4264.4501953125,38.1927758
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 5 (richest),5,Stunting,Stunting prevalence in children aged < 5 years (%),24.6075794,3323.1552734375,38.1927758
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 1 (poorest),1,Underweight,Underweight prevalence in children aged < 5 years (%),26.4596432,3608.00341796875,19.069019
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 2,2,Underweight,Underweight prevalence in children aged < 5 years (%),20.4825193,3773.22265625,19.069019
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 3,3,Underweight,Underweight prevalence in children aged < 5 years (%),19.843788399999998,4145.51904296875,19.069019
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 4,4,Underweight,Underweight prevalence in children aged < 5 years (%),16.4996624,4332.408203125,19.069019
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 5 (richest),5,Underweight,Underweight prevalence in children aged < 5 years (%),12.271310399999999,3418.72802734375,19.069019
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 1 (poorest),1,Wasting,Wasting prevalence in children aged < 5 years (%),5.416288199999999,3576.301513671875,5.1311687
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 2,2,Wasting,Wasting prevalence in children aged < 5 years (%),5.6223284,3767.88427734375,5.1311687
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 3,3,Wasting,Wasting prevalence in children aged < 5 years (%),5.7245135,4178.4541015625,5.1311687
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 4,4,Wasting,Wasting prevalence in children aged < 5 years (%),5.771005499999999,4315.4228515625,5.1311687
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 5 (richest),5,Wasting,Wasting prevalence in children aged < 5 years (%),2.7441325,3575.646240234375,5.1311687
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 1 (poorest),1,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.2795398999999998,3576.301513671875,1.5638570999999999
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 2,2,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.9047634999999998,3767.88427734375,1.5638570999999999
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 3,3,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.5485908,4178.4541015625,1.5638570999999999
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 4,4,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.7404922999999999,4315.4228515625,1.5638570999999999
Eastern Mediterranean,AFG,Afghanistan,2018,Economic status (wealth quintile),Quintile 5 (richest),5,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.0399669999999999,3575.646240234375,1.5638570999999999
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 1 (poorest),1,Overweight,Overweight prevalence in children aged < 5 years (%),4.1649494,7091.33984375,4.5009217999999995
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 2,2,Overweight,Overweight prevalence in children aged < 5 years (%),4.6924755,6896.5380859375,4.5009217999999995
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 3,3,Overweight,Overweight prevalence in children aged < 5 years (%),4.5331339999999996,6549.099609375,4.5009217999999995
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 4,4,Overweight,Overweight prevalence in children aged < 5 years (%),4.3143126999999994,6181.87841796875,4.5009217999999995
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 5 (richest),5,Overweight,Overweight prevalence in children aged < 5 years (%),4.8634112,5528.6416015625,4.5009217999999995
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 1 (poorest),1,Stunting,Stunting prevalence in children aged < 5 years (%),54.462009699999996,6982.38330078125,44.6042985
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 2,2,Stunting,Stunting prevalence in children aged < 5 years (%),51.0213196,6810.4775390625,44.6042985
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 3,3,Stunting,Stunting prevalence in children aged < 5 years (%),46.6372609,6507.6806640625,44.6042985
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 4,4,Stunting,Stunting prevalence in children aged < 5 years (%),38.4046227,6166.341796875,44.6042985
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 5 (richest),5,Stunting,Stunting prevalence in children aged < 5 years (%),28.802222,5539.39111328125,44.6042985
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 1 (poorest),1,Underweight,Underweight prevalence in children aged < 5 years (%),25.013685199999998,7158.3330078125,18.3582425
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 2,2,Underweight,Underweight prevalence in children aged < 5 years (%),20.6694975,6936.11865234375,18.3582425
Eastern Mediterranean,AFG,Afghanistan,2022,Economic status (wealth quintile),Quintile 3,3,Underweight,Underweight prevalence in children aged < 5 years (%),19.1670582,6617.61474609375,18.3582425
