Region,Country ISO-3 Code,Country,Year,Dimension,Dimension Value,Dimension Value Order,Anthropometric Indicator,Indicator Description,Prevalence Estimate %,Under-Five Population (million),Country Avg
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),No education,1,Overweight,Overweight prevalence in children aged < 5 years (%),4.1834027,16289.3564453125,4.1126247
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),Primary education,2,Overweight,Overweight prevalence in children aged < 5 years (%),2.1411146999999997,1341.2381591796875,4.1126247
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),Secondary or higher education,3,Overweight,Overweight prevalence in children aged < 5 years (%),4.7531343999999995,1926.8775634765625,4.1126247
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),No education,1,Stunting,Stunting prevalence in children aged < 5 years (%),40.5593961,15851.87109375,38.1927758
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),Primary education,2,Stunting,Stunting prevalence in children aged < 5 years (%),29.5752287,1330.6182861328125,38.1927758
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),Secondary or higher education,3,Stunting,Stunting prevalence in children aged < 5 years (%),22.901836,1858.8687744140625,38.1927758
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),No education,1,Underweight,Underweight prevalence in children aged < 5 years (%),20.0297207,16150.978515625,19.069019
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),Primary education,2,Underweight,Underweight prevalence in children aged < 5 years (%),17.2089875,1349.3995361328125,19.069019
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),Secondary or higher education,3,Underweight,Underweight prevalence in children aged < 5 years (%),12.2333422,1925.2833251953125,19.069019
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),No education,1,Wasting,Wasting prevalence in children aged < 5 years (%),5.1780082,16289.3564453125,5.1311687
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),Primary education,2,Wasting,Wasting prevalence in children aged < 5 years (%),4.9397476,1341.2381591796875,5.1311687
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),Secondary or higher education,3,Wasting,Wasting prevalence in children aged < 5 years (%),4.4464622,1926.8775634765625,5.1311687
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),No education,1,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.5856839999999999,16289.3564453125,1.5638570999999999
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),Primary education,2,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),0.6819257,1341.2381591796875,1.5638570999999999
Eastern Mediterranean,AFG,Afghanistan,2018,Education (mother),Secondary or higher education,3,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.9384329999999999,1926.8775634765625,1.5638570999999999
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),No education,1,Overweight,Overweight prevalence in children aged < 5 years (%),4.3206688,25438.587890625,4.5009217999999995
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),Primary education,2,Overweight,Overweight prevalence in children aged < 5 years (%),4.4904549,3027.658203125,4.5009217999999995
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),Secondary or higher education,3,Overweight,Overweight prevalence in children aged < 5 years (%),5.721965399999999,3781.251953125,4.5009217999999995
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),No education,1,Stunting,Stunting prevalence in children aged < 5 years (%),47.549703699999995,25179.2734375,44.6042985
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),Primary education,2,Stunting,Stunting prevalence in children aged < 5 years (%),37.906858299999996,3056.084716796875,44.6042985
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),Secondary or higher education,3,Stunting,Stunting prevalence in children aged < 5 years (%),30.3649873,3770.91650390625,44.6042985
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),No education,1,Underweight,Underweight prevalence in children aged < 5 years (%),20.0878724,25675.794921875,18.3582425
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),Primary education,2,Underweight,Underweight prevalence in children aged < 5 years (%),12.8511399,3067.85107421875,18.3582425
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),Secondary or higher education,3,Underweight,Underweight prevalence in children aged < 5 years (%),11.1857682,3836.142822265625,18.3582425
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),No education,1,Wasting,Wasting prevalence in children aged < 5 years (%),3.8352190999999998,25438.587890625,3.6329903
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),Primary education,2,Wasting,Wasting prevalence in children aged < 5 years (%),3.0458979,3027.658203125,3.6329903
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),Secondary or higher education,3,Wasting,Wasting prevalence in children aged < 5 years (%),2.7425701,3781.251953125,3.6329903
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),No education,1,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.2880479999999999,25438.587890625,1.2026056999999999
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),Primary education,2,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),0.8812129999999999,3027.658203125,1.2026056999999999
Eastern Mediterranean,AFG,Afghanistan,2022,Education (mother),Secondary or higher education,3,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),0.8851279999999999,3781.251953125,1.2026056999999999
European,ALB,Albania,2005,Education (mother),Secondary or higher education,3,Overweight,Overweight prevalence in children aged < 5 years (%),25.0834972,1037.747802734375,24.837179499999998
European,ALB,Albania,2005,Education (mother),Secondary or higher education,3,Stunting,Stunting prevalence in children aged < 5 years (%),26.237860299999998,1042.794677734375,26.716613799999998
European,ALB,Albania,2005,Education (mother),Secondary or higher education,3,Underweight,Underweight prevalence in children aged < 5 years (%),6.7046969999999995,1052.5689697265625,6.6482164
European,ALB,Albania,2005,Education (mother),Secondary or higher education,3,Wasting,Wasting prevalence in children aged < 5 years (%),7.3259517999999995,1037.747802734375,7.324687399999999
European,ALB,Albania,2005,Education (mother),Secondary or higher education,3,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),3.705303,1037.747802734375,3.6751084
