Region,Country ISO-3 Code,Country,Year,Dimension,Dimension Value,Dimension Value Order,Anthropometric Indicator,Indicator Description,Prevalence Estimate %,Under-Five Population (million),Country Avg
Eastern Mediterranean,AFG,Afghanistan,2013,Place of residence,Rural,0,Overweight,Overweight prevalence in children aged < 5 years (%),5.9691284,3234017.5,5.3415433
Eastern Mediterranean,AFG,Afghanistan,2013,Place of residence,Urban,0,Overweight,Overweight prevalence in children aged < 5 years (%),3.3385176,1013277.625,5.3415433
Eastern Mediterranean,AFG,Afghanistan,2013,Place of residence,Rural,0,Stunting,Stunting prevalence in children aged < 5 years (%),43.3307797,3214812.75,40.4135436
Eastern Mediterranean,AFG,Afghanistan,2013,Place of residence,Urban,0,Stunting,Stunting prevalence in children aged < 5 years (%),31.130191699999997,1010234.6875,40.4135436
Eastern Mediterranean,AFG,Afghanistan,2013,Place of residence,Rural,0,Underweight,Underweight prevalence in children aged < 5 years (%),26.3756961,3373930.75,24.6434733
Eastern Mediterranean,AFG,Afghanistan,2013,Place of residence,Urban,0,Underweight,Underweight prevalence in children aged < 5 years (%),19.090801499999998,1052538.125,24.6434733
Eastern Mediterranean,AFG,Afghanistan,2013,Place of residence,Rural,0,Wasting,Wasting prevalence in children aged < 5 years (%),10.4139619,3234017.5,9.5344871
Eastern Mediterranean,AFG,Afghanistan,2013,Place of residence,Urban,0,Wasting,Wasting prevalence in children aged < 5 years (%),6.727521899999999,1013277.625,9.5344871
Eastern Mediterranean,AFG,Afghanistan,2013,Place of residence,Rural,0,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),4.6262666999999995,3234017.5,3.9839894
Eastern Mediterranean,AFG,Afghanistan,2013,Place of residence,Urban,0,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.9340711,1013277.625,3.9839894
Eastern Mediterranean,AFG,Afghanistan,2018,Place of residence,Rural,0,Overweight,Overweight prevalence in children aged < 5 years (%),4.0944949,15215.3310546875,4.1126247
Eastern Mediterranean,AFG,Afghanistan,2018,Place of residence,Urban,0,Overweight,Overweight prevalence in children aged < 5 years (%),4.1742384,4477.08740234375,4.1126247
Eastern Mediterranean,AFG,Afghanistan,2018,Place of residence,Rural,0,Stunting,Stunting prevalence in children aged < 5 years (%),40.5380636,14799.78515625,38.1927758
Eastern Mediterranean,AFG,Afghanistan,2018,Place of residence,Urban,0,Stunting,Stunting prevalence in children aged < 5 years (%),30.205288499999998,4345.5205078125,38.1927758
Eastern Mediterranean,AFG,Afghanistan,2018,Place of residence,Rural,0,Underweight,Underweight prevalence in children aged < 5 years (%),20.3454196,15075.7451171875,19.069019
Eastern Mediterranean,AFG,Afghanistan,2018,Place of residence,Urban,0,Underweight,Underweight prevalence in children aged < 5 years (%),14.757829899999999,4463.42822265625,19.069019
Eastern Mediterranean,AFG,Afghanistan,2018,Place of residence,Rural,0,Wasting,Wasting prevalence in children aged < 5 years (%),5.3755846,15215.3310546875,5.1311687
Eastern Mediterranean,AFG,Afghanistan,2018,Place of residence,Urban,0,Wasting,Wasting prevalence in children aged < 5 years (%),4.3005246999999995,4477.08740234375,5.1311687
Eastern Mediterranean,AFG,Afghanistan,2018,Place of residence,Rural,0,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.5422639,15215.3310546875,1.5638570999999999
Eastern Mediterranean,AFG,Afghanistan,2018,Place of residence,Urban,0,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.6372411,4477.08740234375,1.5638570999999999
Eastern Mediterranean,AFG,Afghanistan,2022,Place of residence,Rural,0,Overweight,Overweight prevalence in children aged < 5 years (%),4.4393949,25122.72265625,4.5009217999999995
Eastern Mediterranean,AFG,Afghanistan,2022,Place of residence,Urban,0,Overweight,Overweight prevalence in children aged < 5 years (%),4.717873,7124.775390625,4.5009217999999995
Eastern Mediterranean,AFG,Afghanistan,2022,Place of residence,Rural,0,Stunting,Stunting prevalence in children aged < 5 years (%),47.8401214,24867.666015625,44.6042985
Eastern Mediterranean,AFG,Afghanistan,2022,Place of residence,Urban,0,Stunting,Stunting prevalence in children aged < 5 years (%),33.332157099999996,7138.60888671875,44.6042985
Eastern Mediterranean,AFG,Afghanistan,2022,Place of residence,Rural,0,Underweight,Underweight prevalence in children aged < 5 years (%),19.9979737,25334.2109375,18.3582425
Eastern Mediterranean,AFG,Afghanistan,2022,Place of residence,Urban,0,Underweight,Underweight prevalence in children aged < 5 years (%),12.624910499999999,7245.57666015625,18.3582425
Eastern Mediterranean,AFG,Afghanistan,2022,Place of residence,Rural,0,Wasting,Wasting prevalence in children aged < 5 years (%),3.8350253999999997,25122.72265625,3.6329903
Eastern Mediterranean,AFG,Afghanistan,2022,Place of residence,Urban,0,Wasting,Wasting prevalence in children aged < 5 years (%),2.9205921999999997,7124.775390625,3.6329903
Eastern Mediterranean,AFG,Afghanistan,2022,Place of residence,Rural,0,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),1.2601153999999999,25122.72265625,1.2026056999999999
Eastern Mediterranean,AFG,Afghanistan,2022,Place of residence,Urban,0,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),0.9998205,7124.775390625,1.2026056999999999
European,ALB,Albania,2005,Place of residence,Rural,0,Overweight,Overweight prevalence in children aged < 5 years (%),21.9994083,694.7938842773438,24.837179499999998
European,ALB,Albania,2005,Place of residence,Urban,0,Overweight,Overweight prevalence in children aged < 5 years (%),30.018392199999997,380.5415344238281,24.837179499999998
European,ALB,Albania,2005,Place of residence,Rural,0,Stunting,Stunting prevalence in children aged < 5 years (%),27.2487104,697.2802734375,26.716613799999998
European,ALB,Albania,2005,Place of residence,Urban,0,Stunting,Stunting prevalence in children aged < 5 years (%),25.7481515,383.10205078125,26.716613799999998
European,ALB,Albania,2005,Place of residence,Rural,0,Underweight,Underweight prevalence in children aged < 5 years (%),7.9623802999999995,703.9160766601562,6.6482164
European,ALB,Albania,2005,Place of residence,Urban,0,Underweight,Underweight prevalence in children aged < 5 years (%),4.2531766,386.2405090332031,6.6482164
European,ALB,Albania,2005,Place of residence,Rural,0,Wasting,Wasting prevalence in children aged < 5 years (%),8.591468599999999,694.7938842773438,7.324687399999999
European,ALB,Albania,2005,Place of residence,Urban,0,Wasting,Wasting prevalence in children aged < 5 years (%),5.011794,380.5415344238281,7.324687399999999
European,ALB,Albania,2005,Place of residence,Rural,0,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),4.507459,694.7938842773438,3.6751084
European,ALB,Albania,2005,Place of residence,Urban,0,Wasting Severe,Severe wasting prevalence in children aged < 5 years (%),2.1553997,380.5415344238281,3.6751084
European,ALB,Albania,2008,Place of residence,Rural,0,Overweight,Overweight prevalence in children aged < 5 years (%),23.014082,794.3875732421875,23.2350752
European,ALB,Albania,2008,Place of residence,Urban,0,Overweight,Overweight prevalence in children aged < 5 years (%),23.5595465,541.0452880859375,23.2350752
